Id,boroughname,confirmedcase,Date,Time
1,Ahuntsic–Cartierville,353,2020-04-13,22:06:00
2,Anjou,87,2020-04-13,22:06:00
3,Baie-D'Urfé,5,2020-04-13,22:06:00
4,Beaconsfield,13,2020-04-13,22:06:00
5,Côte-des-Neiges–Notre-Dame-de-Grâce,559,2020-04-13,22:06:00
6,Côte-Saint-Luc,267,2020-04-13,22:06:00
7,Dollard-des-Ormeaux,73,2020-04-13,22:06:00
8,Dorval,38,2020-04-13,22:06:00
9,Hampstead,29,2020-04-13,22:06:00
10,Kirkland,17,2020-04-13,22:06:00
11,Lachine,87,2020-04-13,22:06:00
12,LaSalle,324,2020-04-13,22:06:00
13,L'Île-Bizard–Sainte-Geneviève,25,2020-04-13,22:06:00
14,Mercier–Hochelaga-Maisonneuve,298,2020-04-13,22:06:00
15,Montréal-Est,7,2020-04-13,22:06:00
16,Montréal-Nord,326,2020-04-13,22:06:00
17,Montréal-Ouest,5,2020-04-13,22:06:00
18,Mont-Royal,47,2020-04-13,22:06:00
19,Outremont,147,2020-04-13,22:06:00
20,Pierrefonds–Roxboro,88,2020-04-13,22:06:00
21,Plateau-Mont-Royal,248,2020-04-13,22:06:00
22,Pointe-Claire,34,2020-04-13,22:06:00
23,Rivière-des-Prairies–Pointe-aux-Trembles,253,2020-04-13,22:06:00
24,Rosemont–La Petite Patrie,317,2020-04-13,22:06:00
25,Sainte-Anne-de-Bellevue,5,2020-04-13,22:06:00
26,Saint-Laurent,191,2020-04-13,22:06:00
27,Saint-Léonard,184,2020-04-13,22:06:00
28,Senneville,0,2020-04-13,22:06:00
29,Sud-Ouest,236,2020-04-13,22:06:00
30,Verdun,198,2020-04-13,22:06:00
31,Ville-Marie,205,2020-04-13,22:06:00
32,Villeray–Saint-Michel–Parc-Extension,326,2020-04-13,22:06:00
33,Westmount,60,2020-04-13,22:06:00
34,Ahuntsic–Cartierville,353,2020-04-13,22:10:03
35,Anjou,87,2020-04-13,22:10:03
36,Baie-D'Urfé,5,2020-04-13,22:10:03
37,Beaconsfield,13,2020-04-13,22:10:03
38,Côte-des-Neiges–Notre-Dame-de-Grâce,559,2020-04-13,22:10:03
